week_start,channel,total_interactions,avg_handle_time_minutes,resolution_rate,customer_satisfaction_score,total_cost,cost_per_interaction
2025-01-06,Phone,987,17.87,0.8508,4.17,2467.5,2.5
2025-01-06,Email,356,13.44,0.6845,4.78,356.0,1.0
2025-01-06,Chat,482,7.52,0.751,3.4,361.5,0.75
2025-01-06,WhatsApp,351,6.91,0.7817,3.55,175.5,0.5
2025-01-13,Phone,804,13.53,0.6911,3.5,2010.0,2.5
2025-01-13,Email,407,12.3,0.7876,4.23,407.0,1.0
2025-01-13,Chat,493,10.17,0.7098,4.82,369.75,0.75
2025-01-13,WhatsApp,257,6.09,0.7112,4.05,128.5,0.5
2025-01-20,Phone,1111,14.27,0.8493,3.7,2777.5,2.5
2025-01-20,Email,339,13.19,0.8837,3.92,339.0,1.0
2025-01-20,Chat,565,9.44,0.8754,3.91,423.75,0.75
2025-01-20,WhatsApp,261,6.8,0.735,4.07,130.5,0.5
2025-01-27,Phone,1091,17.95,0.8733,4.77,2727.5,2.5
2025-01-27,Email,363,14.14,0.7124,4.0,363.0,1.0
2025-01-27,Chat,595,10.86,0.7681,3.66,446.25,0.75
2025-01-27,WhatsApp,362,8.89,0.7683,4.46,181.0,0.5
2025-02-03,Phone,892,17.36,0.8364,4.44,2230.0,2.5
2025-02-03,Email,382,14.75,0.7015,3.91,382.0,1.0
2025-02-03,Chat,461,6.23,0.7778,3.92,345.75,0.75
2025-02-03,WhatsApp,259,5.96,0.8647,3.81,129.5,0.5
2025-02-10,Phone,886,16.14,0.7106,4.05,2215.0,2.5
2025-02-10,Email,412,12.91,0.7022,3.64,412.0,1.0
2025-02-10,Chat,562,8.69,0.8783,4.23,421.5,0.75
2025-02-10,WhatsApp,387,6.86,0.7743,3.54,193.5,0.5
2025-02-17,Phone,1193,16.83,0.888,3.91,2982.5,2.5
2025-02-17,Email,305,12.25,0.6887,4.67,305.0,1.0
2025-02-17,Chat,515,8.87,0.7165,4.0,386.25,0.75
2025-02-17,WhatsApp,371,9.59,0.8367,4.8,185.5,0.5
2025-02-24,Phone,1140,16.83,0.6924,3.95,2850.0,2.5
2025-02-24,Email,321,8.9,0.758,4.0,321.0,1.0
2025-02-24,Chat,410,10.51,0.8618,4.3,307.5,0.75
2025-02-24,WhatsApp,265,9.09,0.7497,4.76,132.5,0.5
2025-03-03,Phone,1037,17.11,0.8779,3.75,2592.5,2.5
2025-03-03,Email,307,11.93,0.7428,4.38,307.0,1.0
2025-03-03,Chat,459,8.31,0.8437,4.38,344.25,0.75
2025-03-03,WhatsApp,385,6.87,0.7394,4.26,192.5,0.5
2025-03-10,Phone,917,14.9,0.8526,4.26,2292.5,2.5
2025-03-10,Email,410,9.69,0.7988,4.47,410.0,1.0
2025-03-10,Chat,526,9.15,0.7831,4.1,394.5,0.75
2025-03-10,WhatsApp,237,7.08,0.8549,3.49,118.5,0.5
2025-03-17,Phone,1184,16.15,0.7397,3.41,2960.0,2.5
2025-03-17,Email,315,13.63,0.8084,4.16,315.0,1.0
2025-03-17,Chat,593,10.4,0.8338,3.53,444.75,0.75
2025-03-17,WhatsApp,263,9.41,0.8901,3.8,131.5,0.5
2025-03-24,Phone,1185,16.57,0.7727,4.01,2962.5,2.5
2025-03-24,Email,349,13.94,0.8959,4.24,349.0,1.0
2025-03-24,Chat,599,9.41,0.816,4.02,449.25,0.75
2025-03-24,WhatsApp,224,6.79,0.7892,4.58,112.0,0.5
2025-03-31,Phone,883,17.76,0.7518,3.67,2207.5,2.5
2025-03-31,Email,314,11.7,0.7228,4.07,314.0,1.0
2025-03-31,Chat,438,6.41,0.8897,4.8,328.5,0.75
2025-03-31,WhatsApp,207,7.46,0.8435,3.92,103.5,0.5
2025-04-07,Phone,1084,17.6,0.7045,3.76,2710.0,2.5
2025-04-07,Email,339,10.56,0.8082,4.52,339.0,1.0
2025-04-07,Chat,495,6.72,0.8074,3.63,371.25,0.75
2025-04-07,WhatsApp,230,9.25,0.8961,4.06,115.0,0.5
2025-04-14,Phone,1162,15.64,0.9186,3.76,2905.0,2.5
2025-04-14,Email,318,12.8,0.7431,4.75,318.0,1.0
2025-04-14,Chat,464,9.92,0.7034,3.87,348.0,0.75
2025-04-14,WhatsApp,359,8.85,0.764,3.78,179.5,0.5
2025-04-21,Phone,904,12.0,0.8323,4.62,2260.0,2.5
2025-04-21,Email,465,8.94,0.8714,4.18,465.0,1.0
2025-04-21,Chat,479,8.98,0.9108,3.53,359.25,0.75
2025-04-21,WhatsApp,304,8.07,0.8785,3.98,152.0,0.5
2025-04-28,Phone,971,15.08,0.8618,3.89,2427.5,2.5
2025-04-28,Email,437,8.39,0.7014,4.48,437.0,1.0
2025-04-28,Chat,565,10.1,0.7537,3.73,423.75,0.75
2025-04-28,WhatsApp,236,8.52,0.7831,4.84,118.0,0.5
2025-05-05,Phone,1084,13.56,0.8459,4.22,2710.0,2.5
2025-05-05,Email,460,10.44,0.8521,4.79,460.0,1.0
2025-05-05,Chat,599,7.53,0.8522,4.45,449.25,0.75
2025-05-05,WhatsApp,210,9.53,0.9145,3.78,105.0,0.5
2025-05-12,Phone,831,14.75,0.7191,3.54,2077.5,2.5
2025-05-12,Email,441,8.09,0.8252,4.68,441.0,1.0
2025-05-12,Chat,517,9.28,0.8384,3.41,387.75,0.75
2025-05-12,WhatsApp,275,8.71,0.8708,4.68,137.5,0.5
2025-05-19,Phone,955,13.8,0.7954,3.75,2387.5,2.5
2025-05-19,Email,492,14.23,0.7901,4.09,492.0,1.0
2025-05-19,Chat,517,9.51,0.7076,4.41,387.75,0.75
2025-05-19,WhatsApp,250,9.86,0.8673,3.72,125.0,0.5
2025-05-26,Phone,1001,13.46,0.8913,3.85,2502.5,2.5
2025-05-26,Email,326,13.31,0.8333,4.78,326.0,1.0
2025-05-26,Chat,428,9.36,0.7071,4.11,321.0,0.75
2025-05-26,WhatsApp,278,7.98,0.8649,4.17,139.0,0.5
2025-06-02,Phone,1112,15.86,0.8816,4.16,2780.0,2.5
2025-06-02,Email,431,9.44,0.8164,4.14,431.0,1.0
2025-06-02,Chat,452,7.02,0.6813,3.62,339.0,0.75
2025-06-02,WhatsApp,358,7.56,0.7651,3.64,179.0,0.5
2025-06-09,Phone,881,12.39,0.7166,4.4,2202.5,2.5
2025-06-09,Email,490,9.4,0.8877,3.61,490.0,1.0
2025-06-09,Chat,422,6.94,0.9006,4.41,316.5,0.75
2025-06-09,WhatsApp,324,6.74,0.7243,4.29,162.0,0.5
2025-06-16,Phone,1104,16.14,0.6925,4.39,2760.0,2.5
2025-06-16,Email,372,14.58,0.8027,4.03,372.0,1.0
2025-06-16,Chat,402,6.31,0.7234,4.55,301.5,0.75
2025-06-16,WhatsApp,322,9.67,0.8453,3.8,161.0,0.5
2025-06-23,Phone,961,13.5,0.8163,3.53,2402.5,2.5
2025-06-23,Email,424,14.42,0.7356,4.47,424.0,1.0
2025-06-23,Chat,526,7.42,0.696,4.39,394.5,0.75
2025-06-23,WhatsApp,265,6.88,0.8756,3.52,132.5,0.5
2025-06-30,Phone,987,14.83,0.9096,4.61,2467.5,2.5
2025-06-30,Email,386,12.97,0.8817,4.02,386.0,1.0
2025-06-30,Chat,507,8.09,0.7123,3.78,380.25,0.75
2025-06-30,WhatsApp,330,9.79,0.8607,4.07,165.0,0.5
2025-07-07,Phone,930,15.96,0.7624,4.84,2325.0,2.5
2025-07-07,Email,317,12.07,0.7381,4.6,317.0,1.0
2025-07-07,Chat,405,10.61,0.8358,4.49,303.75,0.75
2025-07-07,WhatsApp,353,6.69,0.8504,4.32,176.5,0.5
2025-07-14,Phone,801,15.55,0.8564,3.91,2002.5,2.5
2025-07-14,Email,431,8.26,0.6809,3.76,431.0,1.0
2025-07-14,Chat,481,8.91,0.8182,4.05,360.75,0.75
2025-07-14,WhatsApp,283,7.15,0.9102,4.63,141.5,0.5
2025-07-21,Phone,987,14.43,0.6955,4.77,2467.5,2.5
2025-07-21,Email,318,10.99,0.6889,4.35,318.0,1.0
2025-07-21,Chat,438,8.5,0.7596,3.9,328.5,0.75
2025-07-21,WhatsApp,246,7.86,0.8328,3.5,123.0,0.5
2025-07-28,Phone,975,16.29,0.8083,4.45,2437.5,2.5
2025-07-28,Email,479,12.94,0.8839,3.95,479.0,1.0
2025-07-28,Chat,553,11.62,0.7559,4.38,414.75,0.75
2025-07-28,WhatsApp,249,8.65,0.8741,3.81,124.5,0.5
2025-08-04,Phone,966,12.67,0.7291,4.44,2415.0,2.5
2025-08-04,Email,438,14.66,0.8428,4.45,438.0,1.0
2025-08-04,Chat,438,8.49,0.7375,4.24,328.5,0.75
2025-08-04,WhatsApp,226,8.43,0.7486,4.44,113.0,0.5
2025-08-11,Phone,1069,13.42,0.8337,4.69,2672.5,2.5
2025-08-11,Email,322,11.63,0.7101,4.18,322.0,1.0
2025-08-11,Chat,493,8.91,0.8949,4.44,369.75,0.75
2025-08-11,WhatsApp,241,9.76,0.8178,4.24,120.5,0.5
2025-08-18,Phone,1196,13.68,0.7232,3.9,2990.0,2.5
2025-08-18,Email,423,14.29,0.9138,4.17,423.0,1.0
2025-08-18,Chat,576,10.26,0.8453,4.87,432.0,0.75
2025-08-18,WhatsApp,263,8.74,0.7923,3.51,131.5,0.5
2025-08-25,Phone,1166,12.9,0.7385,4.88,2915.0,2.5
2025-08-25,Email,402,10.33,0.7326,4.32,402.0,1.0
2025-08-25,Chat,532,10.12,0.739,3.44,399.0,0.75
2025-08-25,WhatsApp,370,8.84,0.8325,4.37,185.0,0.5
2025-09-01,Phone,1199,13.87,0.9084,4.67,2997.5,2.5
2025-09-01,Email,344,13.93,0.7225,4.63,344.0,1.0
2025-09-01,Chat,538,9.99,0.8058,3.94,403.5,0.75
2025-09-01,WhatsApp,287,7.45,0.726,3.49,143.5,0.5
2025-09-08,Phone,843,15.04,0.854,3.93,2107.5,2.5
2025-09-08,Email,377,8.24,0.9091,3.59,377.0,1.0
2025-09-08,Chat,465,6.83,0.7173,4.42,348.75,0.75
2025-09-08,WhatsApp,297,6.65,0.8559,3.76,148.5,0.5
2025-09-15,Phone,861,15.96,0.6955,4.47,2152.5,2.5
2025-09-15,Email,384,12.18,0.9156,4.0,384.0,1.0
2025-09-15,Chat,536,9.98,0.6952,4.63,402.0,0.75
2025-09-15,WhatsApp,206,5.47,0.7162,4.33,103.0,0.5
2025-09-22,Phone,830,17.02,0.8273,4.21,2075.0,2.5
2025-09-22,Email,479,12.41,0.905,3.92,479.0,1.0
2025-09-22,Chat,481,8.65,0.8625,3.45,360.75,0.75
2025-09-22,WhatsApp,250,7.15,0.9126,4.53,125.0,0.5
2025-09-29,Phone,1187,16.63,0.846,3.48,2967.5,2.5
2025-09-29,Email,317,13.37,0.7485,4.1,317.0,1.0
2025-09-29,Chat,441,6.78,0.8721,3.9,330.75,0.75
2025-09-29,WhatsApp,247,9.09,0.9146,3.93,123.5,0.5
2025-10-06,Phone,1195,15.88,0.8294,4.47,2987.5,2.5
2025-10-06,Email,463,13.66,0.8088,4.81,463.0,1.0
2025-10-06,Chat,575,10.95,0.7717,3.91,431.25,0.75
2025-10-06,WhatsApp,213,9.95,0.8404,4.13,106.5,0.5
2025-10-13,Phone,1161,15.19,0.8099,3.49,2902.5,2.5
2025-10-13,Email,345,14.1,0.6902,4.7,345.0,1.0
2025-10-13,Chat,430,7.62,0.8875,4.68,322.5,0.75
2025-10-13,WhatsApp,320,5.18,0.8969,4.25,160.0,0.5
2025-10-20,Phone,809,14.5,0.782,4.09,2022.5,2.5
2025-10-20,Email,381,13.19,0.7917,3.95,381.0,1.0
2025-10-20,Chat,458,8.74,0.9195,4.34,343.5,0.75
2025-10-20,WhatsApp,356,5.18,0.7015,4.86,178.0,0.5
2025-10-27,Phone,990,15.97,0.8549,4.62,2475.0,2.5
2025-10-27,Email,332,8.92,0.8187,3.44,332.0,1.0
2025-10-27,Chat,467,7.98,0.731,4.08,350.25,0.75
2025-10-27,WhatsApp,350,8.98,0.7078,4.48,175.0,0.5
2025-11-03,Phone,817,16.0,0.7895,4.51,2042.5,2.5
2025-11-03,Email,358,14.56,0.7515,4.19,358.0,1.0
2025-11-03,Chat,533,8.01,0.7128,3.79,399.75,0.75
2025-11-03,WhatsApp,224,8.1,0.784,3.52,112.0,0.5
2025-11-10,Phone,844,16.19,0.7487,4.54,2110.0,2.5
2025-11-10,Email,398,13.85,0.689,3.99,398.0,1.0
2025-11-10,Chat,539,6.98,0.8208,4.1,404.25,0.75
2025-11-10,WhatsApp,343,5.44,0.6932,4.23,171.5,0.5
2025-11-17,Phone,1058,17.95,0.8954,4.6,2645.0,2.5
2025-11-17,Email,491,13.85,0.8669,3.87,491.0,1.0
2025-11-17,Chat,494,7.32,0.7218,3.8,370.5,0.75
2025-11-17,WhatsApp,372,7.9,0.9086,3.51,186.0,0.5
2025-11-24,Phone,1168,17.62,0.8019,4.25,2920.0,2.5
2025-11-24,Email,450,9.06,0.8114,4.79,450.0,1.0
2025-11-24,Chat,583,11.02,0.7597,4.72,437.25,0.75
2025-11-24,WhatsApp,223,5.5,0.8644,3.42,111.5,0.5
2025-12-01,Phone,816,15.67,0.8849,4.13,2040.0,2.5
2025-12-01,Email,351,11.72,0.8102,3.95,351.0,1.0
2025-12-01,Chat,520,8.34,0.6819,3.56,390.0,0.75
2025-12-01,WhatsApp,337,5.43,0.7325,4.09,168.5,0.5
2025-12-08,Phone,923,15.75,0.899,4.66,2307.5,2.5
2025-12-08,Email,361,11.18,0.6828,4.86,361.0,1.0
2025-12-08,Chat,457,9.05,0.8234,3.42,342.75,0.75
2025-12-08,WhatsApp,256,7.2,0.791,4.45,128.0,0.5
2025-12-15,Phone,966,15.81,0.879,4.65,2415.0,2.5
2025-12-15,Email,325,10.82,0.79,4.53,325.0,1.0
2025-12-15,Chat,474,11.86,0.8552,3.57,355.5,0.75
2025-12-15,WhatsApp,359,6.97,0.8151,4.42,179.5,0.5
2025-12-22,Phone,1124,13.4,0.8738,3.42,2810.0,2.5
2025-12-22,Email,373,9.93,0.7439,3.98,373.0,1.0
2025-12-22,Chat,588,6.74,0.7993,4.71,441.0,0.75
2025-12-22,WhatsApp,276,6.39,0.7231,3.86,138.0,0.5
2025-12-29,Phone,938,17.57,0.8835,4.84,2345.0,2.5
2025-12-29,Email,434,10.43,0.7952,3.97,434.0,1.0
2025-12-29,Chat,562,8.13,0.8565,4.64,421.5,0.75
2025-12-29,WhatsApp,243,5.66,0.8463,4.36,121.5,0.5
